M(CHARGINO1/NEUTRALINO2) [GEV],M(NEUTRALINO1) [GEV],UL [pb]
1000,0,0.005
1000,100,0.0045
1000,150,0.0048
1000,200,0.0054
1000,250,0.0056
1000,300,0.0051
1000,350,0.0055
1000,400,0.0058
1000,50,0.0052
150,0,2.1021
165,35,1.8395
175,0,0.8986
175,25,1.1398
190,60,1.5165
200,0,0.5274
200,25,0.678
200,50,0.9883
225,0,0.372
225,25,0.3397
225,50,0.5193
225,75,0.8394
250,0,0.328
250,100,0.7654
250,25,0.3608
250,50,0.2886
250,75,0.5436
275,0,0.1798
275,25,0.1711
275,50,0.2055
275,75,0.2927
300,0,0.1386
300,100,0.2259
300,150,0.742
300,25,0.1365
300,50,0.1636
300,75,0.2051
325,0,0.095
325,50,0.0844
350,0,0.0703
350,100,0.0944
350,150,0.1675
350,200,0.7774
350,25,0.086
350,50,0.0695
350,75,0.1097
375,0,0.0501
375,50,0.0572
400,0,0.0433
400,100,0.0542
400,150,0.1163
400,200,0.1857
400,250,0.4792
400,25,0.0563
400,50,0.0486
425,0,0.0458
450,0,0.0297
450,100,0.0385
450,150,0.0561
450,200,0.0921
450,250,0.2244
450,300,0.5683
450,50,0.03
500,0,0.0215
500,100,0.0259
500,150,0.0299
500,200,0.0452
500,250,0.0794
500,300,0.1592
500,350,1.9883
500,50,0.022
535,400,2.0029
550,0,0.0159
550,100,0.0164
550,150,0.018
550,200,0.0224
550,250,0.033
550,300,0.0641
550,50,0.0152
600,0,0.0125
600,100,0.0145
600,150,0.0133
600,200,0.0145
600,250,0.018
600,300,0.0306
600,350,0.0488
600,400,0.1598
600,50,0.0123
650,0,0.0108
650,100,0.0107
650,150,0.0106
650,200,0.0133
650,250,0.0187
650,300,0.023
650,50,0.0103
700,0,0.0079
700,100,0.0091
700,150,0.0099
700,200,0.0094
700,250,0.0098
700,300,0.0153
700,350,0.0181
700,400,0.0283
700,50,0.0077
750,100,0.007
750,150,0.008
750,200,0.0092
750,250,0.0102
750,300,0.0096
750,50,0.007
800,0,0.0065
800,100,0.0069
800,150,0.0065
800,200,0.0069
800,250,0.0083
800,300,0.0083
800,350,0.0109
800,400,0.0121
800,50,0.0069
900,0,0.0051
900,100,0.0061
900,150,0.0049
900,200,0.0057
900,250,0.0062
900,300,0.0067
900,350,0.0071
900,400,0.0081
900,50,0.0053
